id,name,full_name,type,created_at
44,NOTS Foundation,NOTS Entrepreneurial Development Aid,N,2008-07-17
44,NOTS Foundation,NOTS Entrepreneurial Development Aid,N,2008-08-10
45,PRIDE,,N,2008-07-17
45,PRIDE,,N,2008-08-10
46,UP4S ,Uganda Primary-Secondary School Support Scheme,N,2008-08-10
47,Salek,Stimulate African Life by Education for Kids ,N,2008-08-10
48,EFLI,Education For Life Initiative,N,2008-08-10
50,Stichting Daryeel,,N,2008-08-11
52,EARTH Concepts,EARTH Concepts,C,2008-08-13
53,Parade,Theaterfestival de Parade,N,2008-08-13
55,TAPPS,TAPPS Strandvolleybal.net ,C,2008-08-15
56,Connect International,Stichting Connect International,N,2008-11-04
57,SHIPO,Southern Highlands Participatory Organisation,N,2008-11-04
58,PSOC,Program to Save the Old City of Fianarantsoa,G,2008-12-18
59,ASAP,Association for Small African Projects,N,2008-12-18
60,Arghyam,,N,2009-01-23
64,SI/E Kisumu,Soroptimist Kisumu Winam Club,N,2009-01-27
65,WfWP,Women for Water Partnership,N,2009-01-27
66,SI/E Addis Ababa,Soroptimist International Addis Ababa Club,N,2009-01-27
67,SI/E Bamako,Soroptimist International Bamako Espoir,N,2009-01-27
68,SI/E Sweden,"Soroptimist Club Kalmar, Sweden",N,2009-01-27
69,VAM,Women and Labour Market Foundation,N,2009-01-28
71,Ramro,Stichting Ramro,N,2009-02-14
74,MACERUDET,Mmanze Center For Rural Development,N,2009-02-15
75,Fred Foundation,Fred Foundation,N,2009-02-15
77,Namelok,Stichting Namelok,N,2009-02-16
79,Silent Work,Stichting Silent Work,N,2009-02-16
80,WvW 2009,Wandelen voor Water 2009,N,2009-02-16
81,Vrienden van de Sahel,Stichting Vrienden van de Sahel ,N,2009-02-16
82,A.C.D.,Action Couverture et Developpement ,N,2009-02-16
86,Sahjeevan,,N,2009-02-20
87,WASMO,Water and Sanitation Management Organisation,G,2009-02-20
88,WOPD,Womenâ€™s Organisation for Progress and Development,N,2009-02-25
89,ZijActief ,ZijActief Nederland ,N,2009-02-25
90,Agriterra,Agriterra,N,2009-02-25
91,HOAT,Agricultural Relief Organisation Thailand,N,2009-02-26
92,AquaEst,AquaEst Europe B.V.,C,2009-02-26
93,World Vision Cyprus,World Vision International - Cyprus,N,2009-02-26
94,AMREF Kenya,African Medical and Research Foundation,N,2009-03-03
95,Amref Flying Doctors,Stichting Amref Flying Doctors Nederland,N,2009-03-03
96,Wilde Ganzen,Stichting Wilde Ganzen,N,2009-03-03
98,HORCO,Hope for Rural Children and Orphans,N,2009-04-02
99,KIRDARC,Karnali Integrated Rural Development & Research Centre,N,2009-04-06
100,SNV Asia,SNV Netherlands Development Organisation â€“ Asia,N,2009-04-06
101,Together in Action,Foundation Together in Action,N,2009-05-07
102,AAWS,Aqua-Aero WaterSystems BV,C,2009-05-25
103,Rotary Goes,Rotary Club Goes,N,2009-05-25
104,S.P.S.,Stichting Plattelandsontwikkeling Senegal,N,2009-05-25
105,QuaWater ,QuaWater ,C,2009-06-16
106,Impulsis,"Impulsis, een initiatief van ICCO, Edukans en Kerk in Actie",N,2009-06-16
108,COFORWA,COFORWA (Les Compagnons Fontainiers Rwandais),N,2009-06-23
109,Abdo,Abdo Foundation,N,2009-07-22
110,Pump Aid,Pump Aid,N,2009-07-30
111,Meal-A-Day,Christadelphian meal-a-day fund,N,2009-07-30
112,AIDFI,Alternative Indigenous Development Foundation,N,2009-08-11
113,Wandelen voor Water ,Wandelen voor Water ,N,2009-08-21
114,SLYI,Sierra Leone Youth Initiative,N,2009-08-28
115,Max Foundation,Max Foundation,N,2009-09-01
118,Twestival Karlshamn,Twestival Karlshamn,N,2009-09-04
120,Twestival NorrkÃ¶ping,Twestival NorrkÃ¶ping,N,2009-09-07
121,arche noVa,,N,2009-09-14
122,C-DARMA,Centre de DÃ©veloppement de l'Artisanat Rural et du Machinisme Agricole,N,2009-09-17
123,Splash,Splash,N,2009-09-23
124,Splash - China,Splash- China,N,2009-09-23
126,E-Water,E-Water Deutschland ,N,2009-09-23
127,Helder Water,Stichting Helder Water,N,2009-09-25
128,Lien Aid,Lien Aid Limited,N,2009-09-25
129,RWC,Rain Water Cambodia ,N,2009-09-25
130,LVIA,,N,2009-09-27
131,CRWF ,Canadian Rotarian Water Foundation,N,2009-09-27
132,Rotary D9210,"Rotary Club of Hunyani, District 9210 - Zimbabwe",N,2009-09-27
133,Fondo para la Paz ,,N,2009-09-29
134,GWC,,N,2009-09-30
135,Manna Energy Foundation,Manna Energy Foundation,N,2009-09-30
136,Water for People,Water for People,N,2009-09-30
137,ADPP Mozambique,Ajuda de Desenvolvimento de Povo para Povo ,N,2009-10-06
138,DAPP Zambia ,Development Aid from People to People in Zambia,N,2009-10-06
139,AWHHE,Armenian Women for Health and Healthy Environment ,N,2009-10-06
140,CONSAM LTDA,Consultoria Sanitaria y Ambiental Ltda.,C,2009-10-06
141,Tree Africa,Tree Africa,N,2009-10-08
142,EcoTact,EcoTact,C,2009-10-08
143,Mama-86,Mama-86-Kharkiv,N,2009-10-09
144,Unilever,Unilever South Africa,C,2009-10-09
145,Wildlands,,N,2009-10-09
146,Dien Bien WRS,Dien Bien Water Resources Sub-Department,G,2009-10-12
147,Live Earth,Live Earth LLC,C,2009-10-13
148,Chawama Youth Project,Chawama Youth Project (CYP),N,2009-10-15
149,Emesco,Emesco Development Foundation (EDF),N,2009-10-15
150,SVHB,Stichting Vrienden Holten-Bedanda,N,2009-10-16
151,IWP,,N,2009-10-19
152,JointhePipe.org,JointhePipe.org,N,2009-11-03
153,BSP Nepal,BSP Nepal,N,2009-11-04
154,CARITAS KAOLACK,CARITAS KAOLACK,N,2009-11-04
155,NRCS,Nepal Red Cross Society,N,2009-11-04
156,SCOPE,Society for Community Organisation and Peoples Education,N,2009-11-20
157,The Resource Foundation,The Resource Foundation ,N,2009-11-26
158,APP,Agua Para el Pueblo,N,2009-11-26
159,Action Aid Senegal,Action Aid Senegal,N,2009-12-09
160,ARFA,Association pour la Recherche et la Formation en Agro-ecologie,N,2009-12-10
161,AGED,Association pour la Gestion de l'Environnement et le Developpement,N,2009-12-10
162,Huisman Foundation,Huisman Foundation,N,2009-12-11
164,Rotary Apeldoorn 't Loo,Rotary Apeldoorn 't Loo,N,2009-12-16
165,Waterschap De Dommel ,Waterschap De Dommel ,G,2009-12-22
166,Kijlstra,Kijlstra,C,2009-12-23
168,Other contributions,Individual donations / local contributions,N,2010-01-07
169,Le Connaisseur Utrecht,Grand Restaurant Le Connaisseur Utrecht BV,N,2010-01-08
170,ARRAKIS,,C,2010-01-14
171,WASRAG,Water & Sanitation Rotarian Action Group,N,2010-01-15
172,AMREF Tanzania,African Medical and Research Foundation,N,2010-01-19
173,BISWA,Bharat Integrated Social Welfare Agency,N,2010-01-20
174,Riverfoundation,,N,2010-01-21
176,St. Wageningen-Ndiza,Stichting Samenwerking Wageningen-Ndiza,N,2010-02-02
177,Gemeente Wageningen,Gemeente Wageningen,G,2010-02-02
179,DHAN Foundation,DHAN Vayalagam (Tank) Foundation,N,2010-02-03
180,Rabobank Foundation,Rabobank Foundation,N,2010-02-03
181,RC Wageningen-Bergpoort,Rotary Club Wageningen-Bergpoort,N,2010-02-04
182,Demotech,"Demotech, design for self-reliance",N,2010-02-12
184,India Water Portal,India Water Portal,N,2010-02-16
185,S.K.I.,Stichting Kinderhulp IndonesiÃ«,N,2010-02-17
186,Tweed Shire Council,Tweed Shire Council,G,2010-02-17
187,Tweed Kenya,Tweed Community Kenya Mentoring Program,N,2010-02-17
188,Kansarmen Sri Lanka,Stichting Kansarmen Sri Lanka,N,2010-02-22
189,SPEG,Stichting Projectkoppeling Eindhoven Gedaref,N,2010-02-24
190,Brabant Water,Brabant Water,C,2010-02-26
191,Gemeente Eindhoven,Gemeente Eindhoven,G,2010-02-26
192,SBNN,Stichting Buru Nyakwere Nederland,N,2010-02-27
193,Rotary Hulst,Rotary Club Hulst,N,2010-02-27
195,Msele,Stichting Msele ~ Vechters voor water,N,2010-03-01
196,YelkabÃ©,Stichting YelkabÃ©,N,2010-03-01
197,BARKA,The BARKA Foundation,N,2010-03-04
198,Espacio Agua,Espacio Agua,N,2010-03-08
199,IIED-AL,Instituto International de Medio Ambiente y Desarrollo - AmÃ©rica Latina ,N,2010-03-08
200,CDO,Cambodia Dutch Organization,N,2010-03-09
201,Rainbows4children,Rainbows4children Stiftung,N,2010-03-09
202,TDVA,Tigray Disabled Veterans Association,N,2010-03-09
203,Naandi,Naandi Foundation,N,2010-03-10
204,SANA,Sustainable Aid in Africa International,N,2010-03-11
206,VJNNS,Visakha Jilla Nava Nirmana Samithi,N,2010-03-12
207,ZOA Ethiopia,ZOA Ethiopia,N,2010-03-15
208,SAP,Stichting Afrika Projecten,N,2010-03-15
209,WvW 2010 ,Wandelen voor Water 2010,N,2010-03-16
210,FINISH,Financial INclusion Improves Sanitation and Health,N,2010-03-16
212,Bouwmaat,Bouwmaat,C,2010-03-17
214,Stichting MIM,Stichting Mirjam in Malawi,N,2010-03-18
215,LONAB,Loterie Nationale BurkinabÃ©,C,2010-03-20
216,Source Connection,The Source Connection Foundation,N,2010-03-26
217,NCDO,Nationale Commissie Internationale Samenwerking Duurzame Ontwikkeling,N,2010-03-26
219,Instituto e,Instituto e,N,2010-03-29
220,CILSJ,ConsÃ³rcio Intermunicipal Lagos - SÃ£o JoÃ£o,G,2010-03-29
221,Warhammer for Water,,N,2010-03-30
222,World Waternet ,World Waternet ,G,2010-04-06
223,BWADC,Behira Water & Drainage Co.,C,2010-04-06
225,St. Lembaga Kerja Sama,,N,2010-04-07
226,RC Valkenswaard,Rotary Club Valkenswaard,N,2010-04-07
227,Cycle for Water,Cycle for Water,N,2010-04-08
228,Dow Chemical IbÃ©rica,Dow Chemical IbÃ©rica,C,2010-04-16
229,Live Earth Singapore,Live Earth Singapore,N,2010-04-28
230,Dow Benelux ,Dow Benelux BV,C,2010-04-29
233,Emmaus Regenboog,Emmaus Regenboog,N,2010-05-11
234,Bas & Frida 40 jaar ,Bas & Frida 40 jaar getrouwd,N,2010-05-17
235,Live Earth Mexico,Live Earth Mexico ,N,2010-05-18
237,Live Earth Hong Kong,Live Earth Hong Kong,N,2010-05-21
238,LIve Earth Melbourne,LIve Earth Melbourne,N,2010-05-31
239,DOS Doetinchem,Stichting Doetinchem en Ontwikkelingssamenwerking (DOS),N,2010-06-08
240,PFP,Potters for Peace,N,2010-06-10
241,Live Earth Brazil,Live Earth Brazil,N,2010-06-18
242,CCM,Christian Council of Mozambique,N,2010-06-18
243,Dorcas,Dorcas Aid International,N,2010-06-18
244,ICU service centre,International Contact Uganda Service Centre,N,2010-06-21
245,Rotary Rijssen,Rotary Club Rijssen,N,2010-07-01
246,C4C,Concerts For Change,N,2010-07-05
247,Live Earth Argentina,Live Earth Argentina,N,2010-08-04
248,OOGvoorBrunapeg,Foundation 'OOG for Brunapeg',N,2010-08-16
250,H+H 50 ,Hans en Hanneke Gelderblom,N,2010-09-21
251,Shechen Clinic,"Shechen Clinic and Hospice, Nepal",N,2010-09-29
252,RC Brummen-Engelenburg,Rotaryclub Brummen-Engelenburg,N,2010-09-29
254,TU Delft,Delft University of Technology,K,2010-10-06
255,Students 4 Sustainability,Stichting Students 4 Sustainability,N,2010-10-06
256,Zontaclub 't Gooi,Zontaclub 't Gooi,N,2010-11-04
260,IRC,IRC International Water and Sanitation Centre,K,2010-11-11
266,H2O for Life,H2O for Life,N,2010-11-11
267,MAPRONET,Market Access Promotion Network,N,2010-11-11
268,Hivos,Hivos,N,2010-11-14
269,Pag-La-Yiri,Pag-La-Yiri,N,2010-11-15
271,Bernard van Leer,Bernard van Leer Foundation,N,2010-11-15
272,Connect4Change,Connect4Change,N,2010-11-15
273,Cordaid,Cordaid,N,2010-11-15
274,Health Child,Health Child,N,2010-11-15
275,Dutch WASH Alliance,Dutch WASH Alliance,N,2010-11-15
276,AVINA,FundaciÃ³n AVINA,N,2010-11-19
277,CARE Ecuador,CARE Internacional en Ecuador,N,2010-11-19
278,Loja Provincial Gov.,Loja Provincial Government,G,2010-11-19
279,Cotelvo Limitada (Ltda),Cooperativa Telefonica de Provision de Obras y Servicios Publicos,C,2010-11-19
280,AHJASA,Asociacion Hondurena de Juntas Administradoras de Sistemas de Agua (AHJASA),N,2010-11-22
281,The International Center,The International Center ,N,2010-11-22
282,PPG Industries,"PPG Industries, Inc.",C,2010-11-22
283,Basisschool de Oosthoek,Basisschool de Oosthoek,G,2010-11-24
284,Paul Sieverding-Fonds,Rotterdamse Vereniging voor Katholiek Onderwijs,N,2010-11-24
289,WvW 2011,Wandelen voor Water 2011,N,2010-11-25
290,TEDxAward,TEDxAmsterdam Award,N,2010-12-06
291,DDD2012,Dutch Delta Design 2012,N,2010-12-06
292,IDE Ethiopia,International Development Enterprise Ethiopia,N,2010-12-07
293,Selam Awassa,Selam Awassa Technical and Vocational Training College,C,2010-12-07
294,Text to Change,Text to Change,N,2010-12-07
295,SEEtrust,SEEtrust Women Entrepreneurship,N,2010-12-08
296,DED,Deutscher Entwicklungsdienst,N,2010-12-08
297,Stichting Sahelp,Stichting Sahelp,N,2010-12-10
298,WADEP,Women and Development Project,N,2010-12-14
299,CD Bethesda,Community Development Unit of Bethesda Hospital,N,2010-12-14
300,ELCT,ELCT,N,2010-12-14
301,HHDelfland,Hoogheemraadschap van Delfland,G,2010-12-16
302,CDN,Consortium of Dutch NGOÂ´s ,N,2010-12-16
303,SEND Foundation,SEND Foundation West Africa,N,2010-12-16
304,Close the Gap,Close the Gap ,N,2010-12-20
305,CFSU,Computers for Schools Uganda,N,2010-12-20
308,UCMB,Uganda Catholic Medical Bureau,N,2010-12-20
309,RFR,Red Financiera Rural,N,2010-12-21
310,CSSC,Christian Social Services Commission,N,2010-12-21
311,Sengerema Hospital,Sengerema Designated District Hospital,N,2010-12-21
312,Magu District Council  ,Magu District Council  ,G,2010-12-21
313,Friends of Nyanje/11000km,Friends of Nyanje foundation with www.11000km.nl,N,2010-12-21
314,Nyanje school,Nyanje Day Secondary School and the Nyanje Basic School in Zambia,K,2010-12-21
315,Tauw ,Tauw bv,C,2010-12-21
316,GreenAdsBlue,GreenAdsBlue Foundation,N,2010-12-21
317,FEPPASI,FÃ©dÃ©ration des Professionnels Agricoles de la Sissili,N,2010-12-22
318,SDC Burkina,Swiss Development Cooperation,G,2010-12-22
319,Edukans,Edukans,N,2010-12-22
320,SEED Samburu,Samburu Empowerment through Education and Development,N,2010-12-23
321,Mpelembe Secondary School,"Mpelembe Secondary School, Zambia",K,2011-01-03
322,Tenda Pamoja,Stichting Tenda Pamoja Kenia,N,2011-01-04
323,Support Yayeme,Stichting Support Yayeme,N,2011-01-04
324,GMB Civiel B.V.,GMB Civiel B.V.,C,2011-01-10
325,ADAF Yungar,Association pour le DÃ©veloppement de l'Arrondissement de Fimela Yungar,N,2011-01-11
327,CERTES,Centre dâ€™Expertise et de Recherche en Telemedecine et E-Sante ,N,2011-01-17
328,Sene Kunafoni Bulon,Sene Kunafoni Bulon,N,2011-01-17
329,FRUILEMA,GIE FRUILEMA,C,2011-01-17
330,SDC Mali,Swiss Development Cooperation,G,2011-01-18
331,Keneya Blown,Keneya Blown,N,2011-01-19
332,Various investors,Various investors,C,2011-01-19
333,Manobi,Manobi,C,2011-01-19
334,Waves of Change,Waves of Change,C,2011-02-01
335,Stichting KAP,Stichting Vrienden van het Kitale AIDS Programme,N,2011-02-01
336,KAP,Kitale AIDS Programme,N,2011-02-01
337,Janivo,Stichting Janivo,N,2011-02-01
338,KJS,Kon. Julianaschool,K,2011-02-10
339,Local Communities Kitale,Local Communities Kitale,N,2011-02-15
340,Arthacharya Foundation,Arthacharya Foundation,N,2011-02-20
341,Rabobank UHR,Rabobank Utrechtse Heuvelrug,C,2011-03-02
342,Stichting Onamika ,Stichting Onamika ,N,2011-03-03
343,Nova College,Nova College Haarlem,K,2011-03-03
344,Walking for Water 2011,Walking for Water international 2011,N,2011-03-03
345,Water-Right,Stichting Water-Right ,C,2011-03-08
346,Ological,Ological waterkoelers,C,2011-03-10
347,Vrienden van Congo,Stichting Vrienden van Congo,N,2011-03-24
348,F.N.P.C,FRATERNITE NATIONALE DES PRISONS AU CONGO,N,2011-03-24
349,PKN steenwijk,Protestantse gemeente Steenwijk,N,2011-03-24
350,Gemeente Steenwijkerland,Gemeente Steenwijkerland,G,2011-03-24
351,St. Peters Primary School,St. Peters RC Primary School,G,2011-03-31
352,Fundauniban,FundaciÃ³n de Bananeros UNIBAN,N,2011-04-15
353,Agius de Soldanis School,Agius de Soldanis Girls' Secondary School,K,2011-04-15
354,Resilience,Resilience Foundation,N,2011-04-28
355,TWG,Tegemeo Women Group,N,2011-05-18
356,Leiden-Buffalo City,Stichting Stedenband Leiden-Buffalo City,N,2011-05-19
357,ELCYCC,East London Child and Youth Care Centre,N,2011-05-19
358,Our Lady's & St Joseph's,Our Lady's & St Joseph primary school,K,2011-05-23
359,Lijn in Waterloop,De HKV Lijn in Waterloop,C,2011-05-27
360,CommonSites,CommonSites.net,N,2011-05-30
361,Leiden University,"Faculty of Archaeology, Leiden University",K,2011-05-30
362,MOTA-DACH,Department of Antiquities and Cultural Heritage,G,2011-05-30
363,Neth. Repr. Off. Ramallah,Netherlands Representative Office (NRO) to the Palestinian Authority ,G,2011-05-30
364,UNESCO Ramallah,UNESCO Office Ramallah,G,2011-05-30
365,Partners for Water,Partners for Water,G,2011-05-31
366,EMF,The Ecological Management Foundation,C,2011-06-01
367,ProPortion,ProPortion Foundation,N,2011-06-06
368,Muso Ladamunen,Project Muso Ladamunen,N,2011-06-07
369,FENASCOM,FÃ©dÃ©ration nationale des associations de santÃ© communautaire du Mali,N,2011-06-07
371,Earth Water Spain,Earth Water Spain,C,2011-06-07
372,ZHP,Zambia Honey Partnership (ZHP),N,2011-06-07
373,OPPAZ,Organic Producers and Processors Association of Zambia,N,2011-06-07
374,Network for Africa,Network for Africa,N,2011-06-08
375,Aspire Rwanda,Aspire Rwanda,N,2011-06-08
376,Voltea,Voltea,C,2011-06-08
377,DAM,Dhaka Ahsania Mission ,N,2011-06-09
378,Dykesmains primary school,Dykesmains primary school,K,2011-06-14
379,Unilever Ventures,Unilever Ventures Limited,C,2011-06-15
380,Pentair Foundation,Pentair Foundation,C,2011-06-15
381,Valley Foundation,The Valley Foundation,C,2011-06-15
382,MWF,Micro Water Facility (MWF),N,2011-06-15
383,Archeon,Archeon,C,2011-06-21
384,New Covenant Ministries,New Covenant Ministries,N,2011-06-29
385,PCCO,Patongo Community Counselling Outreach,N,2011-06-30
386,AFDC,Association pour la Facilitation du DÃ©veloppement Communautaire,C,2011-06-30
387,St. Faso,Stichting Faso,K,2011-06-30
388,Share4More,Rabobank Share4More,N,2011-07-03
389,Biome,Biome Environmental Trust,N,2011-07-07
390,Rainwater Club,Rainwater Club,N,2011-07-07
391,Kantara,Stichting Kantara,N,2011-07-14
392,CharITy,CharITy,N,2011-07-14
393,Nicaraguan Heritage ,Central Nicaragua Archaeological Project,N,2011-07-18
395,Yojana,Yojana Projecthulp,N,2011-08-12
396,SEDT,Socio Economic Development Trust,N,2011-08-12
397,YPS,Yerala Project Society,N,2011-08-12
398,Eureko Achmea,Eureko Achmea Foundation,C,2011-08-12
399,Neba,Nederland-Batam foundation,N,2011-08-16
400,Pinaesaan clinic,Klinik KB Perkotaan Pinaesaan,N,2011-08-16
401,Serba Usaha cooperation,KOPERASI SERBA USAHA JATIROGO,N,2011-08-16
402,KOMPASS,"KOMPASS, Sangihe",N,2011-08-16
403,Health[e]Foundation ,Health[e]Foundation ,N,2011-08-16
404,FC,Facilitator for change,N,2011-08-18
405,ICCO,ICCO,N,2011-08-18
406,ASIAN EYE CARE,Association for Eye Care Development in Asia,N,2011-08-30
407,Choray Hospital ,Ho Chi MinhCommunist Youth Union of Cho Ray Hospital,G,2011-08-30
408,SAPP,The Sponsoring Association for Poor Patients,N,2011-08-30
409,Kinderhulp Bodhgaya,Stichting Kinderhulp Bodhgaya,N,2011-09-05
410,NBJK,Nav Bharat Jagriti Kendra,N,2011-09-05
411,1%Club,Stichting 1%CLUB,N,2011-09-05
412,KEWASNET,Kenya Water and Sanitation CSOs Network ,N,2011-09-08
413,Practical Action Kenya,Practical Action Kenya,N,2011-09-08
414,SASOL Foundation,SASOL Foundation,N,2011-09-08
415,ICRAF Kenya,International Centre for Research in Agroforestry,K,2011-09-08
416,WaterAid Kenya,WaterAid Kenya,N,2011-09-08
417,EFDA,Education for Development Assocation,N,2011-09-16
418,NVEA,New Vision in Education Association,N,2011-09-16
419,IWCIDA,Illu Women and Children Developement Association,N,2011-09-16
420,DEC,DEC,N,2011-09-16
421,ARHR,Alliance for Reproductive Health Rights (ARHR),N,2011-10-04
422,ADAA,African Development Aid Association,N,2011-10-06
423,CDI,Center for Development Initiatives,N,2011-10-06
424,OSRA,Oromo Self Reliance Association,N,2011-10-06
425,HUNDEE,HUNDEE Oromo Grassroots Development Initiative,N,2011-10-07
426,ERSHA,ERSHA,N,2011-10-07
427,SavSign,Savana Signatures,N,2011-10-24
428,UNDP,United Nations Development Programme,K,2011-10-26
430,Government of Finland,Ministry for Foreign Affairs Finland,G,2011-10-26
431,ITFC,International Islamic Trade Finance Corporation,G,2011-10-26
432,UNDP Armenia,"United Nations Development Programme, Armenia",G,2011-10-26
434,UNDP Georgia,United Nations Development Programme Georgia,G,2011-10-26
435,Adjara Government ,"Adjara Government, Georgia",G,2011-10-26
438,One Foundation,The One Foundation,N,2011-11-14
439,NETWAS,NETWAS,N,2011-11-14
440,Oxfam GB,Oxfam GB,N,2011-11-14
441,ETC-UA,ETC Urban Agriculture,N,2011-11-14
442,Co-operative,The Co-operative,C,2011-11-14
443,Plan International,Plan International,N,2011-11-14
444,WvW 2012,Wandelen voor Water 2012,N,2011-11-14
445,Waterschap Groot Salland,Waterschap Groot Salland,G,2011-11-15
446,Aspect Capital,Aspect Capital,C,2011-11-17
447,CEPAC,Centro de PromociÃ³n Agropecuaria Campesina,N,2011-11-21
448,FAUTAPO,Fundacion Fautapo,N,2011-11-21
449,PROINPA,FundaciÃ³n PROINPA,N,2011-11-21
450,AOPEB,AsociaciÃ³n de organizaciones de productores EcolÃ³gicos de Bolivia,N,2011-11-21
451,Fe y AlegrÃ­a,Fe y AlegrÃ­a Bolivia,N,2011-11-21
452,IRFA,Instituto RadiofÃ³nico Fe y Alegria,N,2011-11-21
454,APCOB,Apoyo Para el Campesino-Indigena del Oriente Boliviano,N,2011-11-21
455,Educatic,Educatic bolivia,N,2011-11-21
456,FundaciÃ³n ACLO,FundaciÃ³n AcciÃ³n Cultural Loyola,N,2011-11-21
457,Profit Rural,Profit Rural,N,2011-11-21
458,CIOEC Bolivia,Coodinadora de Integracion de OECAs,N,2011-11-21
459,CEE,ComisiÃ³n Episcopal de EducaciÃ³n,N,2011-11-21
460,EFP,"Asociacion de EFP (AFID, FAAAS, FINCAFE)",N,2011-11-22
461,Ayuda en AcciÃ³n,Ayuda en AcciÃ³n,N,2011-11-23
462,dance4life,dance4life,N,2011-11-25
463,Restless Development,Restless Development,N,2011-11-25
464,Dutch Ministry of Foreign,Dutch Ministry of Foreign Affairs,G,2011-11-25
467,Daphne Foundation,The Daphne Foundation,N,2011-11-28
468,ASM,Aide du Sahel Mali,N,2011-11-29
471,DHS ,Department of Human Settlements ,G,2011-12-02
472,ICMA,Incomati Catchment Management Agency,G,2011-12-02
473,Rotary Zwolle,Rotary Club Zwolle,N,2011-12-02
474,Wetlands International,Wetlands International,N,2011-12-05
475,Both ENDS,Boh ENDS,N,2011-12-05
476,Uttaran,Uttaran,N,2011-12-05
477,JJS,Jagrata Juba Shangha,N,2011-12-05
478,AOSED,An Organization for Socio-Economic Development,N,2011-12-05
479,DORP,Development Organisation of the Rural Poor,N,2011-12-05
480,SLOPB,Stichting Land Ontwikkelings Project Bangladesh ,N,2011-12-05
481,WaterAid Bangladesh,WaterAid Bangladesh,N,2011-12-05
482,DOJ,Diocese of Jinja,N,2011-12-05
483,Gemeente Zwolle,Gemeente Zwolle,G,2011-12-05
484,Gemeente Dalfsen,Gemeente Dalfsen,G,2011-12-05
485,Weebale,Weebale Foundation,N,2011-12-05
486,SamSamWater,SamSamWater,N,2011-12-06
487,Walking for Water 2012,Walking for Water international 2012,N,2011-12-06
488,Red TIC Bolivia,Red TIC Bolivia,N,2011-12-06
489,Local Council of Gedaref,Local Council municipality Gedaref City,G,2011-12-12
490,RotaryNL,Rotary Netherlands WASH projects,N,2011-12-12
491,Nkhoma Hospital ,Nkhoma Church of Central Africa Presbyterian Hospital ,N,2011-12-13
492,HADEFO,Hope Again Development Foundation,N,2011-12-19
493,R5,International group of 5 Rotary Clubs  Represented in the Netherlands,N,2011-12-19
494,PRfekt Kontor,PRfekt Kontor AB,C,2011-12-19
495,Instituto EDUCA,Instituto de Fomento de una EducaciÃ³n de Calidad ,N,2011-12-20
496,CCAP Livingstonia Synod,"Church of Central Africa Presbyterian (CCAP), Synod of Livingstonia ",N,2011-12-20
498,SWI,Safe water International,N,2011-12-20
499,"CHC, Mangochi Diocese","Catholic Health Commission, Mangochi Diocese",N,2011-12-22
500,CHC Diocese of Chickwawa,Catholic Health Commission - Diocese of Chikwawa,N,2011-12-23
501,GSB,Grupo Saneamento Bilibiza,N,2011-12-28
502,Blue Peter,Blue Peter Foundation,N,2011-12-28
503,GKP Foundation,Global Knowledge Partnership Foundation,K,2011-12-29
504,FundaciÃ³n CTIC,FundaciÃ³n CTIC,N,2012-01-02
505,IMTAvH,Instituto de Medicina Tropical Alexander von Humboldt,N,2012-01-02
506,Nexus Heritage,Nexus Heritage - SRI Ltd,C,2012-01-02
507,ASTIS,University of Queensland,K,2012-01-03
