id,proj_title,currency,value,update_count,publishing_status,status,funded,Organisation,created_at
87,Water&sanitation in Tigania-Kenya,EUR,"11,650.00",1,published,Archived,0.00,130,2009-09-27
88,Safe Water for 11 Community Schools,EUR,"60,000.00",1,published,Archived,"17,000.00",141,2009-09-27
89,Rooftop Rainwater Harvesting and Storage  ,EUR,"21,651.00",1,published,Archived,"11,029.00",133,2009-09-29
90,GWC's Changemakers: EcoTact,USD,"31,000.00",1,published,Archived,23.12,147,2009-09-30
91,GWC's Changemakers: Manna Energy,USD,"50,000.00",1,published,Archived,249.60,135,2009-09-30
92,GWC Water & Sanitation for Guatemalan School,USD,"12,075.00",1,published,Archived,706.08,16,2009-09-30
93,Water for Healthy Food ,EUR,"24,688.00",1,published,Archived,0.00,137,2009-10-06
94,Rural Mozambican Schools Practice Sanitation ,EUR,"24,374.00",4,published,Completed,"24,373.82",494,2009-10-06
95,Drinking Water for Upland Communities,EUR,"25,000.00",1,published,Archived,0.00,112,2009-10-06
96,Introduction of Rope Pump in Philippines,EUR,"20,000.00",1,published,Archived,0.00,112,2009-10-06
97,Total Water Project,EUR,"30,000.00",1,published,Archived,0.00,138,2009-10-06
98,Rope Pumps for Rural Communities,EUR,"30,000.00",2,published,Archived,0.00,57,2009-10-06
99,Improved Latrines for Rural Communities,EUR,"20,000.00",2,published,Archived,0.00,57,2009-10-06
100,Safe drinking water for Dzoraghbyur,EUR,"76,722.00",2,published,Archived,"8,690.00",139,2009-10-06
101,EcoSan Project Safe Disposal & Use of Excreta,EUR,"78,593.00",6,published,Completed,"78,593.25",140,2009-10-06
103,Indigenous Trees for Life ,EUR,"26,143.00",4,published,Archived,500.00,147,2009-10-09
105,Sanitation&Training for Chawama Youth Project,EUR,"45,300.00",3,published,Completed,"45,300.50",148,2009-10-15
106,Quench the thirst! Water 4 Uganda!,EUR,"45,939.00",0,published,Archived,0.00,149,2009-10-15
107,Rainwater harvesting in Guinee Bissau,EUR,"15,182.00",2,published,Active,"15,181.87",150,2009-10-16
108,Community Water & Sanitation Program,EUR,"4,000.00",1,published,Completed,"3,999.77",230,2009-10-16
109,Water Supply and Sanitation System for people,EUR,"25,270.00",1,published,Archived,0.00,151,2009-10-19
110,Professionalization of manual drilling teams,EUR,"25,000.00",1,published,Archived,0.00,39,2009-10-20
111,Improved water supply in Tanzania,EUR,"58,863.00",3,published,Archived,0.00,57,2009-10-20
112,Bring on the rain in Nepal,EUR,"25,000.40",3,published,Completed,"1,491.36",153,2009-11-04
113,Water and biogas for livelihood improvement,EUR,"50,094.20",2,published,Completed,0.00,464,2009-11-04
114,"Safe water supply for Nghadior, Senegal",EUR,"32,284.00",2,published,Archived,"4,735.10",154,2009-11-04
115,"Safe water supply for Paanchkal, Nepal",EUR,"42,449.30",2,published,Completed,0.00,464,2009-11-04
116,Water pumps in Malawi,EUR,"7,400.00",4,published,Completed,"7,400.47",383,2009-11-18
117,Water for life in Zimbabwe,EUR,"25,000.00",1,published,Archived,0.00,110,2009-11-18
118,Water for life in Zimbabwe,EUR,"12,350.00",1,published,Archived,0.00,110,2009-11-18
119,Urine Bank for Food Security,EUR,"42,440.00",1,published,Archived,0.00,156,2009-11-20
120,Migrant Schools Clean Water Project - China,EUR,"23,165.00",1,published,Completed,"23,164.90",237,2009-11-26
121,AguaClara Drinking Water Treatment Plant,EUR,"44,256.39",0,published,Active,"44,256.26",158,2009-11-26
122,"Safe water supply for Bakho, Senegal",EUR,"25,294.80",2,published,Archived,"2,050.30",35,2009-12-09
123,"Safe water supply for ModbarÃ©, Burkina Faso",EUR,"31,450.80",2,published,Archived,"5,558.50",160,2009-12-10
124,"Safe water supply for Bamloye, Burkina Faso",EUR,"11,184.50",2,published,Archived,"3,102.30",161,2009-12-10
125,"Safe water supply for Bani, Burkina Faso",EUR,"11,184.50",2,published,Archived,"3,102.30",161,2009-12-10
126,"Safe water supply for Lamdamol, Burkina Faso",EUR,"11,184.50",2,published,Archived,"3,102.30",35,2009-12-10
127,"Safe water supply for Pagalaga, Burkina Faso",EUR,"11,184.50",1,published,Archived,"3,102.30",161,2009-12-10
128,"Safe water supply for Fayaco, Senegal",EUR,"20,685.00",0,published,H,"3,502.52",154,2010-01-12
129,School WATSAN Cabo Delgado,EUR,"24,500.00",3,published,Completed,"24,500.00",164,2010-01-15
130,AMREF Kibera integrated schools health ,EUR,"13,756.00",2,published,Completed,"13,756.00",94,2010-01-19
131,"AMREF Water and sanitation Mtwara, Tanzania",EUR,"103,251.00",3,published,Completed,"103,251.06",353,2010-01-19
132,Creation of 2 model Ecosan Villages,EUR,"27,220.00",6,published,Archived,"27,219.75",210,2010-01-20
133,"Micro-Sanitation in Sirajganj, Bangladesh",EUR,"3,000.00",0,published,Active,"3,000.00",152,2010-01-25
134,School Sanitatie en Hygiene Voorlichting,EUR,"139,000.00",6,published,Completed,"139,000.00",301,2010-02-01
135,Water for Mugeyo,EUR,"24,000.00",1,published,Active,"23,999.82",181,2010-02-02
138,School RWH en sanitatie Mmanze,EUR,"26,056.00",19,published,Completed,"26,055.64",244,2010-02-08
139,Water for Haiti!,EUR,"49,500.00",3,published,Archived,0.00,121,2010-02-08
140,Project Waterinfrastructuur Niabina en Mâ€™BahÃ©,EUR,"24,445.00",0,published,H,0.00,79,2010-02-10
141,Water pumps for rural Guatemalan communities,EUR,"16,825.00",7,published,Active,"16,824.79",43,2010-02-12
143,Schoon water en sanitatie op scholen,EUR,"80,000.00",1,published,Completed,"80,000.21",185,2010-02-17
144,Improving living standards in Kenya ,EUR,"360,500.00",1,published,Archived,"231,721.08",187,2010-02-17
145,"Waterput met handpomp, blok van 3 wc's  ",EUR,"10,361.00",16,published,Completed,"10,361.00",43,2010-02-22
146,Safe drinking water for Thai school children,EUR,"4,500.00",3,published,Completed,"4,500.00",316,2010-02-22
147,"Water & Sanitatie, Kadurugahamaditha School ",EUR,"1,886.00",3,published,Completed,"1,886.00",43,2010-02-22
148,Water voor Katagamuwa School ,EUR,"3,760.00",3,published,Completed,"3,760.00",188,2010-02-22
149,Toilets for the Halmellakotowa School ,EUR,"2,900.00",6,published,Completed,"2,899.82",43,2010-02-22
150,Toiletten voor Vithikuliya School ,EUR,"5,460.00",4,published,Completed,"5,460.00",43,2010-02-22
151,Water en Sanitatie voor Kuli Kudavewa School,EUR,"3,630.00",3,published,Completed,"3,630.00",209,2010-02-22
152,Toiletten voor Lagere Scholen ,EUR,"32,000.00",2,published,Active,"32,000.15",190,2010-02-25
153,Water en Sanitation op Scholen in Nyakach,EUR,0.00,5,published,Completed,"89,000.00",193,2010-02-27
154,Waterput in Melfa,EUR,"4,216.00",0,published,Active,"4,216.00",43,2010-03-01
155,Uitbreiding AEPS voor de kliniek van Latou,EUR,"2,800.00",0,published,Active,"2,800.00",196,2010-03-01
156,Water in Delta Islands,EUR,"25,200.00",1,published,Archived,"5,600.00",247,2010-03-09
157,Wandelen voor Water ,EUR,"14,500.00",3,published,Active,"14,500.00",43,2010-03-09
158,Rainwater harvesting for Nicolas School,EUR,"48,753.77",2,published,Completed,334.20,35,2010-03-09
159,GWC Water & Sanitation for a Tanzanian School,USD,"18,500.00",1,published,Archived,61.93,172,2010-03-09
160,GWC Water Kiosk in India,USD,"25,000.00",1,published,Archived,209.97,203,2010-03-09
161,Schoon Water voor Moeders in Kenya,EUR,"177,493.00",2,published,Completed,"177,493.49",113,2010-03-11
163,"Water for Asrada, Bheemanpalli, Gathampakala",EUR,"13,112.00",13,published,Completed,"13,112.10",60,2010-03-12
164,Water- en Sanitatieproject in Monrovia,EUR,"437,400.00",1,published,Completed,"437,400.00",207,2010-03-15
165,Water filters for families in Mozambique,EUR,"8,000.00",0,published,Active,"8,000.00",137,2010-03-15
166,Water and sanitation to improve households,EUR,"20,000.00",0,published,Active,"20,000.00",214,2010-03-18
167,"Water for Chitralgoppu, Diguvu, Jalluri Metta",EUR,"14,933.00",11,published,Completed,"14,933.00",184,2010-03-19
168,Water for Rintada,EUR,"14,933.00",11,published,Completed,"14,933.00",184,2010-03-19
169,Water for A.Sanivaramu,EUR,"14,933.00",12,published,Completed,"14,933.00",206,2010-03-19
170,Water for Palada,EUR,"14,933.00",11,published,Completed,"14,933.00",206,2010-03-19
171,"AMREF water & sanitation in Kajiado, Kenya",EUR,"88,291.99",5,published,Completed,"88,292.32",95,2010-03-19
173,Clean Water for Rural Village in Burkina Faso,EUR,"36,937.00",1,published,Archived,"10,342.00",197,2010-03-20
174,Borehole with handpump for village community,EUR,"7,500.00",0,published,Completed,"7,499.82",208,2010-03-23
175,Katombora,EUR,"36,559.00",2,published,Completed,"36,559.00",216,2010-03-26
176,FUNBOAS,EUR,"46,150.00",2,published,Archived,"46,150.00",220,2010-03-29
177,Water for the poor in Africa,EUR,"50,000.00",1,published,Archived,0.00,223,2010-04-06
178,Drink water supply for Sorido,EUR,"12,000.00",0,published,Completed,"12,000.00",53,2010-04-07
179,Toilets for Katunjebesi,EUR,"32,606.00",0,published,Active,"32,605.75",71,2010-04-14
180,Schoon water voor La Libertad,EUR,"20,000.00",1,published,Active,"20,000.00",239,2010-06-08
181,Water & Sanitation for the poor in Mozambique,EUR,"24,514.00",1,published,Archived,0.00,242,2010-06-18
182,Toiletten voor Kuli Dahanathgadara School ,EUR,"4,352.00",3,published,Completed,"4,352.00",188,2010-07-15
183,Water voor School Girls College ,EUR,"2,520.00",3,published,Completed,"2,520.00",113,2010-07-15
184,Brunapeg Water & Sanitation,EUR,"21,458.00",23,published,Completed,"21,458.00",283,2010-08-16
185,A borehole in Kisozi,EUR,"6,816.00",13,published,Completed,"6,816.00",106,2010-08-16
186,Health & Sanitation at Bamboo School Nepal,EUR,"49,500.00",7,published,Active,"49,500.00",251,2010-09-29
187,The Winddrinker,EUR,"96,699.00",13,published,Active,"96,698.82",43,2010-10-06
188,"Community led water, sanitation and hygiene",EUR,"60,048.00",0,published,Active,"60,048.00",113,2010-11-04
192,Market information system using mobile phones,EUR,"186,920.00",2,published,Completed,"186,920.00",34,2010-11-11
193,Community radio Pag-La-Yiri,EUR,"126,500.00",2,published,Completed,"126,500.00",269,2010-11-15
194,Mobiles and computers for child health,EUR,"391,225.00",12,published,Completed,"391,225.00",949,2010-11-15
195,Basic Sanitation for Loja Province,EUR,"32,000.00",0,published,H,"7,000.00",277,2010-11-19
196,Water for poor neighborhoods: Villa Ocampo,EUR,"22,930.00",0,published,H,"6,880.00",279,2010-11-20
197,The Circuit Rider Program in Honduras,EUR,"60,000.00",0,published,H,"35,000.00",282,2010-11-22
199,Design of a low-cost community hand pump,EUR,"6,590.00",0,published,H,"1,346.07",15,2010-11-28
200,Designing a windmill driven rope-pump,EUR,"12,200.00",1,published,Archived,"1,000.00",15,2010-12-02
201,Building Entrepreneurial Capability of Women,EUR,"20,700.00",0,published,H,"3,750.00",295,2010-12-08
202,Using SMS for HIV/AIDS education ,EUR,"10,200.00",0,published,Completed,"10,200.00",294,2010-12-08
203,Waterproject in Namelok,EUR,"8,000.00",7,published,Completed,"8,000.82",77,2010-12-10
204,Schoon water voor kinderen in Kirolo,EUR,"6,475.00",12,published,Active,"6,474.85",301,2010-12-10
205,"Putten voor drinkwater, tuinbouw, veehouderij",EUR,"8,100.00",0,published,H,"6,279.00",297,2010-12-10
206,Market and production info for farmers,EUR,"21,000.00",5,published,Completed,"21,000.00",298,2010-12-14
208,Telemedicine in Tanzania (phase 2),EUR,"45,000.00",0,published,Active,"45,000.00",272,2010-12-14
209,Water en sanitatie op scholen 2011,EUR,"75,570.00",1,published,Active,"75,569.83",168,2010-12-15
210,Schoon drinkwater en sanitatie in Myanmar,EUR,"309,000.00",1,published,Completed,"308,999.82",207,2010-12-16
213,Helping teachers use ICT for teaching,EUR,"110,820.00",6,published,Active,"110,820.00",1664,2010-12-20
214,Computer skills for small business owners,EUR,"66,724.00",3,published,Completed,"66,724.00",34,2010-12-20
215,Using PCs for Continuing Medical Education,EUR,"500,333.00",1,published,Completed,"500,333.00",1131,2010-12-20
216,Webbased application /teleconference facility,EUR,"150,000.00",5,published,Active,"150,000.00",272,2010-12-20
217,Credit management system for small farmers,EUR,"319,776.00",1,published,Completed,"319,776.00",309,2010-12-21
218,Telemedicine in Tanzania (phase 1),EUR,"117,000.00",0,published,Completed,"117,000.00",430,2010-12-21
219,District health management information system,EUR,"160,000.00",0,published,Active,"160,000.00",34,2010-12-21
220,A modular implementation of ICT in health,EUR,"131,000.00",0,published,Active,"131,000.00",311,2010-12-21
221,Management System for health facilities,EUR,"115,000.00",0,published,Active,"115,000.00",300,2010-12-21
222,Water supply for Nyanje school in Zambia,EUR,"41,457.00",26,published,Completed,"41,457.31",43,2010-12-21
223,Water for Samburu,EUR,"41,226.00",1,published,H,"13,742.00",106,2010-12-23
226,Multimedia helps farmers to improve produce,EUR,"121,500.00",1,published,Active,"121,500.00",317,2010-12-23
227,Raise awareness on hygiene and drinking water,EUR,"101,500.00",1,published,Completed,"101,500.00",21,2011-01-03
228,Expertise center on ehealth and telemedicine,EUR,"236,639.00",2,published,Active,"236,639.00",327,2011-01-03
229,Sene Kunafoni Bulon,EUR,"155,292.00",0,published,Active,"155,292.00",328,2011-01-03
230,Improving visual teaching material in Zambia,EUR,"462,600.00",1,published,Completed,"462,600.00",34,2011-01-03
231,ICT in the Zambian Classroom,EUR,"166,481.96",0,published,Active,"166,482.00",34,2011-01-03
232,A fresh start for unskilled youths in Zambia,EUR,"138,694.00",9,published,Active,"138,694.00",34,2011-01-03
233,Using ICT to certify and market crops abroad,EUR,"144,235.00",0,published,Active,"144,235.00",373,2011-01-04
234,Guarantee for financing sanitation activities,EUR,"12,000.00",2,published,Archived,"12,000.00",14,2011-01-04
235,Waterput in Bona,EUR,"9,900.00",12,published,Completed,"9,900.00",43,2011-01-04
236,"260 Toiletten voor VDC Mangaltar, Nepal",EUR,"17,166.00",3,published,Completed,"17,166.00",71,2011-01-04
237,Waterproject 2011,EUR,"29,000.00",9,published,Active,"29,000.00",113,2011-01-04
238,Latrines en aansluitingen op waterleiding,EUR,"21,490.00",2,published,H,"7,713.03",325,2011-01-04
239,Toiletten voor Scholen,EUR,"13,565.00",0,published,H,"11,541.60",189,2011-01-04
240,Schoon water voor Kagnandofe 650 inwoners,EUR,"9,947.59",16,published,Completed,"9,948.00",168,2011-01-11
242,FRUILEMA,EUR,"161,500.00",0,published,Completed,"161,500.00",330,2011-01-18
243,HIV/AIDS Education Programme,EUR,"72,035.00",6,published,Active,"72,035.00",339,2011-02-01
244,Rabo donatieproject microfinanciering,EUR,330.00,4,published,Completed,330.10,340,2011-02-08
245,Rabo donatieproject microfinanciering,EUR,496.00,4,published,Completed,495.94,340,2011-02-20
246,Rabo donatieproject microfinanciering,EUR,265.00,4,published,Completed,265.28,341,2011-02-20
247,Rabo donatieproject microfinanciering,EUR,330.00,4,published,Completed,329.82,340,2011-02-20
248,Rabo donatieproject microfinanciering,EUR,330.00,4,published,Completed,329.82,340,2011-02-20
249,Rabo donatieproject microfinanciering,EUR,463.00,4,published,Completed,462.92,340,2011-02-20
250,Rabo donatieproject microfinanciering,EUR,397.00,4,published,Completed,396.82,340,2011-02-20
251,Rabo donatieproject microfinanciering,EUR,496.00,4,published,Completed,495.82,340,2011-02-20
252,Rabo donatieproject microfinanciering,EUR,660.00,4,published,Completed,659.82,340,2011-02-20
253,Rabo donatieproject microfinanciering,EUR,132.00,5,published,Completed,131.82,340,2011-02-20
254,Rabo donatieproject microfinanciering,EUR,661.00,5,published,Completed,661.00,340,2011-02-20
255,Rabo donatieproject microfinanciering,EUR,231.00,4,published,Completed,231.00,340,2011-02-20
256,Rabo donatieproject microfinanciering,EUR,661.00,4,published,Completed,660.82,340,2011-02-20
257,Rabo donatieproject microfinanciering,EUR,99.00,5,published,Completed,98.82,341,2011-02-20
258,Rabo donatieproject microfinanciering,EUR,559.00,4,published,Completed,558.82,341,2011-02-20
260,Rabo donatieproject microfinanciering,EUR,462.00,6,published,Completed,462.00,341,2011-02-20
261,Rabo donatieproject microfinanciering,EUR,330.00,5,published,Completed,330.46,341,2011-02-20
262,Rabo donatieproject microfinanciering,EUR,661.00,6,published,Completed,661.28,341,2011-02-20
264,Rabo donatieproject microfinanciering,EUR,264.00,4,published,Completed,263.82,341,2011-02-20
265,Reparatie handpompen van 3 waterputten,EUR,"6,780.00",6,published,Active,"6,779.64",289,2011-02-23
266,Water en Sanitatie voor Kivla school ,EUR,"3,340.00",6,published,Completed,"3,340.00",188,2011-03-03
267,"Micro Sanitation in Rajihar, Bangladesh",EUR,"2,500.00",3,published,Completed,"2,500.00",115,2011-03-08
268,Revolving fund water and sanitation SHIPO,EUR,"147,000.00",9,published,Active,"146,999.97",43,2011-03-08
269,Vocational training former streetchildren  ,EUR,"24,210.00",0,published,H,"15,000.00",106,2011-03-24
270,Household Water Filtration Systems ,EUR,"11,448.00",1,published,Active,"11,448.39",228,2011-04-15
271,Clean drinking water for bottom of pyramid ,EUR,"34,629.00",6,published,Archived,0.00,354,2011-04-28
272,Women and Water Sanitation and Health Centre ,EUR,"15,500.00",1,published,Completed,"15,500.50",316,2011-05-18
273,Sanitation facilities,EUR,"5,238.00",8,published,Completed,"5,237.82",43,2011-05-18
274,A safe park for Duncan Village,EUR,"37,000.00",3,published,Active,"36,999.54",106,2011-05-19
275,Heritage Teachers Handbook in Palestine,EUR,"24,000.00",18,published,Active,"24,023.82",362,2011-05-30
276,Sujol brings good water,EUR,"309,800.00",105,published,Active,"309,800.00",366,2011-05-31
277,MAMMA,EUR,"17,000.00",19,published,H,"15,587.45",294,2011-06-07
278,Honing in on Zambian honey,EUR,"8,000.00",1,published,Active,"8,000.00",372,2011-06-07
279,Education & training for vulnerable women,EUR,"32,950.00",1,published,Archived,"32,950.00",374,2011-06-08
280,Education for former child soldiers,EUR,"19,250.00",1,published,Archived,241.30,384,2011-06-27
281,Trauma counselling for survivors of war,EUR,"19,100.00",1,published,Archived,0.00,385,2011-06-30
282,Rainwater harvesting for Vijayapura schools,EUR,"3,000.00",5,published,Completed,"3,000.13",389,2011-07-07
283,"Sustainable Water Treatment in Asoul, Morocco",EUR,"28,140.00",1,published,Archived,"10,000.00",391,2011-07-14
284,Archaeological Park in Nicaragua,EUR,"10,500.00",2,published,H,"2,592.07",361,2011-07-15
285,Malawi Elephant Pump Mark II Project,EUR,"32,672.00",2,published,Active,"32,672.00",110,2011-08-08
286,EDU-Key,EUR,"222,016.00",0,published,H,"190,000.00",395,2011-08-12
287,Social and medical project,EUR,"23,000.00",0,published,H,"75,000.00",403,2011-08-16
289,"Water Project in Mchinji, Malawi",EUR,"8,212.00",1,published,H,0.00,110,2011-08-18
291,Development in Midebdo,EUR,"53,100.00",0,published,H,"24,859.64",386,2011-08-30
292,AEC Eye Care Development Program for Vietnam,EUR,"59,350.00",0,published,H,"26,300.00",106,2011-08-30
293,Vocational cum Skill Training Program,EUR,"75,300.00",2,published,Active,"75,300.00",168,2011-09-05
294,Integration of ICT on agricultural commodity,EUR,"305,060.00",18,published,Active,"261,480.00",425,2011-09-07
296,Connect4Change Education Programme - Ethiopia,EUR,"160,000.00",10,published,Active,"160,000.00",272,2011-09-16
297,School of ban yang nam sai,EUR,"4,500.00",2,published,Completed,"4,499.64",91,2011-09-18
298,school chum chon ban sakea,EUR,"4,500.00",1,published,Completed,"4,499.75",91,2011-09-26
300,Elephant Pump water project,EUR,"3,506.04",3,published,Completed,"3,506.94",332,2011-10-12
302,Tackling e-Waste in East Africa,EUR,"110,000.00",1,published,H,"5,000.00",305,2011-10-20
303,Bits4Green - contributing to clean ICT use ,EUR,"65,000.00",1,published,H,"20,000.00",392,2011-10-20
304,Integration of ICT in Education Project(IIEP),EUR,"68,000.00",56,published,Active,"67,999.92",272,2011-10-24
305,Aid for Trade,USD,"6,551,961.00",19,published,Completed,"6,551,961.00",435,2011-10-26
306,Inclusive Employment and Social Partnership,USD,"861,800.00",45,published,Active,"861,800.00",428,2011-10-26
308,Water Provision in Northern Kenya,EUR,"268,963.00",1,published,Archived,"268,963.00",440,2011-11-14
309,Water Provision in Rural Uganda,EUR,"248,000.00",1,published,Archived,"248,000.00",443,2011-11-14
310,My SWEPS,EUR,"120,000.00",1,published,H,"22,968.07",472,2011-11-15
312,ImplementaciÃ³n de software financiero,EUR,"22,266.71",3,published,Active,"22,266.71",460,2011-11-22
313,InformaciÃ³n de precios de mercado en el sur  ,EUR,"17,733.00",25,published,Active,"17,733.00",34,2011-11-22
314,IntegraciÃ³n SCI y SIG,EUR,"74,979.00",23,published,Active,"74,979.00",488,2011-11-22
315,School Sanitation and Hygiene Education,EUR,"139,000.00",2,published,Completed,"139,000.00",209,2011-11-22
316,Comunidad educativa TIC para el cambio,EUR,"116,697.00",25,published,Active,"116,697.00",272,2011-11-22
317, Las TIC en la educaciÃ³n,EUR,"864,440.00",52,published,Active,"621,100.00",272,2011-11-22
318,Plataforma informaciÃ³n de apoyo al SPG,EUR,"93,900.00",27,published,Active,"60,000.00",34,2011-11-22
320,TIC para una educaciÃ³n ,EUR,"101,737.00",37,published,Active,"101,737.00",34,2011-11-23
321,EducaciÃ³n en la interculturalidad,EUR,"122,593.00",11,published,Active,"122,593.00",488,2011-11-23
322,EducaciÃ³n TÃ©cnica a distancia en Bolivia,EUR,"19,368.00",97,published,Active,"19,368.00",34,2011-11-24
323,GestiÃ³n del Conocimiento para el Desarrollo,EUR,"99,141.96",27,published,Active,"99,141.96",319,2011-11-24
324,dance4life India,EUR,"154,000.00",0,published,Active,"154,000.00",463,2011-11-25
325,Waterput voor school in het dorp Mamaribougou,EUR,"12,546.00",9,published,Active,"12,546.00",815,2011-11-28
326,Water and Sanitation for School Children,EUR,"37,000.00",11,published,H,"29,647.98",444,2011-11-28
327,Red de Inteligencia de Mercados,EUR,"157,801.00",10,published,Active,"157,801.00",34,2011-11-28
328,Uso de TIC's en sistemas de comunicaciÃ³n,EUR,"91,242.00",65,published,Active,"91,242.00",34,2011-11-28
329,Health and Sanitation Bamboo Schools,EUR,"30,000.00",2,published,Active,"30,000.00",251,2011-12-01
